ResourceType,CurrentValue,MaxValue
GOLD,50,50
ELIXIR,40,40
GEMS,5,5

TroopType,Count
BARBARIAN,10
ARCHER,14

TYPE,INSTANCE_ID,POS_X,POS_Y
WALL,1,14,12
GOLD-EXTRACTOR,1,14,17
WALL,2,17,26
WALL,3,19,22
WALL,4,22,15
WALL,5,16,25
WALL,6,20,26
WALL,7,16,23
ELIXIR-STORAGE,1,25,18
WALL,8,16,20
WALL,9,18,16
WALL,10,16,22
WALL,11,26,25
ELIXIR-STORAGE,2,21,14
WALL,12,16,16
WALL,13,17,22
WALL,14,18,22
WALL,15,26,23
WALL,16,12,20
ARCHER-TOWER,1,25,20
BARRACKS,1,8,18
ARMY-CAMP,1,15,15
WALL,17,24,16
WALL,18,24,26
WALL,19,19,26
WALL,20,13,22
ELIXIR-EXTRACTOR,1,8,20
WALL,21,18,26
GOLD-STORAGE,1,18,25
ARMY-CAMP,2,15,25
WALL,22,26,18
WALL,23,26,21
WALL,24,18,12
WALL,25,26,19
WALL,26,12,22
WALL,27,16,19
WALL,28,20,12
WALL,29,12,13
WALL,30,22,16
WALL,31,22,17
GOLD-STORAGE,2,14,21
WALL,32,20,16
WALL,33,21,22
WALL,34,25,26
WALL,35,22,18
WALL,36,26,22
WALL,37,22,26
WALL,38,22,21
WALL,39,26,24
ELIXIR-EXTRACTOR,2,17,14
ARMY-CAMP,3,25,25
WALL,40,16,12
WALL,41,26,16
WALL,42,26,26
CANNON,1,14,19
WALL,43,23,26
CANNON,2,19,14
BARRACKS,2,18,8
WALL,44,15,22
TOWN-HALL,1,20,20
WALL,45,19,16
WALL,46,14,22
WALL,47,26,20
WALL,48,21,12
WALL,49,12,15
WALL,50,17,12
WALL,51,19,12
WALL,52,22,19
WALL,53,23,16
WALL,54,12,12
WALL,55,21,26
WALL,56,21,16
WALL,57,22,12
WALL,58,20,22
ELIXIR-EXTRACTOR,3,25,22
WALL,59,12,21
WALL,60,25,16
WALL,61,12,19
GOLD-EXTRACTOR,2,22,25
WALL,62,12,17
WALL,63,17,16
WALL,64,22,20
WALL,65,16,18
WALL,66,26,17
WALL,67,16,21
WALL,68,22,13
GOLD-EXTRACTOR,3,20,8
WALL,69,12,16
WALL,70,13,12
WALL,71,22,22
ARMY-CAMP,4,25,15
WALL,72,16,26
WALL,73,16,24
WALL,74,22,14
WALL,75,12,14
ARCHER-TOWER,2,20,25
WALL,76,12,18
WALL,77,15,12
WALL,78,16,17
