ResourceType,CurrentValue,MaxValue
GOLD,50,100
ELIXIR,40,100
GEMS,5,20


TYPE,INSTANCE_ID,POS_X,POS_Y
TOWN-HALL,1,20,20

WALL,1,16,17
WALL,1,16,18
WALL,1,16,19
WALL,1,16,20
WALL,1,16,21
WALL,1,16,22

WALL,1,17,22
WALL,1,18,22
WALL,1,19,22
WALL,1,20,22
WALL,1,21,22
WALL,1,22,22

WALL,1,22,21
WALL,1,22,20
WALL,1,22,19
WALL,1,22,18
WALL,1,22,17
WALL,1,22,16

WALL,1,21,16
WALL,1,20,16
WALL,1,19,16
WALL,1,18,16
WALL,1,17,16
WALL,1,16,16

ARMY-CAMP,1,25,25
ARMY-CAMP,1,15,15

ARMY-CAMP,1,15,25
ARMY-CAMP,1,25,15

ELIXIR-EXTRACTOR,1,8,20
BARRACKS,1,8,18

GOLD-EXTRACTOR,1,20,8
BARRACKS,1,18,8

ELIXIR-STORAGE,1,25,18
ARCHER-TOWER,1,25,20
ELIXIR-EXTRACTOR,1,25,22

GOLD-STORAGE,1,18,25
ARCHER-TOWER,1,20,25
GOLD-EXTRACTOR,1,22,25

CANNON,1,14,19
GOLD-EXTRACTOR,1,14,17
GOLD-STORAGE,1,14,21

CANNON,1,19,14
ELIXIR-EXTRACTOR,1,17,14
ELIXIR-STORAGE,1,21,14

WALL,1,23,16
WALL,1,24,16
WALL,1,25,16
WALL,1,26,16
WALL,1,26,17
WALL,1,26,18
WALL,1,26,19
WALL,1,26,20
WALL,1,26,21
WALL,1,26,22
WALL,1,26,23
WALL,1,26,24
WALL,1,26,25
WALL,1,26,26
WALL,1,25,26
WALL,1,24,26
WALL,1,23,26
WALL,1,22,26
WALL,1,21,26
WALL,1,20,26
WALL,1,19,26
WALL,1,18,26
WALL,1,17,26
WALL,1,16,26
WALL,1,16,25
WALL,1,16,24
WALL,1,16,23

WALL,1,22,15
WALL,1,22,14
WALL,1,22,13
WALL,1,22,12
WALL,1,21,12
WALL,1,20,12
WALL,1,19,12
WALL,1,18,12
WALL,1,17,12
WALL,1,16,12
WALL,1,15,12
WALL,1,14,12
WALL,1,13,12
WALL,1,12,12
WALL,1,12,13
WALL,1,12,14
WALL,1,12,15
WALL,1,12,16
WALL,1,12,17
WALL,1,12,18
WALL,1,12,19
WALL,1,12,20
WALL,1,12,21
WALL,1,12,22
WALL,1,13,22
WALL,1,14,22
WALL,1,15,22
